partID,productLine,prodCategory
part3c318aa,line56,Machines
partdcd7986,line56,Machines
part3504bd9,linec1,Marketables
part409c7e9,line55,SpareParts
part30ef77f,line55,SpareParts
part72bf8db,line55,SpareParts
partb1864ac,linea3,Marketables
part56e91f4,linea3,Marketables
partc1f543a,linea3,Marketables
part5c3ec9e,linea3,Marketables
part20355ed,linea3,Marketables
partb60f0d8,linea3,Marketables
parta45f3bc,linea3,Marketables
part44b9290,linea3,Marketables
part4ca206,linea3,Marketables
parta2f0733,linea3,Marketables
part24002ba,line55,SpareParts
partc69756b,linec1,Marketables
parte2e0317,line4b,Machines
part9293381,line55,SpareParts
part7353256,line4b,Machines
part58f56e,line4b,Machines
part205a344,line39,Machines
part8c0d4d1,line55,SpareParts
parteb7df65,line55,SpareParts
part9fe608,line4b,Machines
parte3fd505,line55,SpareParts
part007a3db,line4b,Machines
part6107fc8,line55,SpareParts
part32fc499,linec1,Marketables
part71b755f,line55,SpareParts
part076b146,linec1,Marketables
part7a789e8,line55,SpareParts
part6d78722,line55,SpareParts
partd9170b8,line55,SpareParts
part284bb07,line4b,Machines
part60147e0,line55,SpareParts
part613271b,line55,SpareParts
part4c6218e,linec1,Marketables
partd08f9d1,linec1,Marketables
part4793c1f,linec1,Marketables
part3c11118,linec1,Marketables
part1f7739a,linec1,Marketables
part1d0bc97,line39,Machines
partfa649cf,line39,Machines
part7731846,linec1,Marketables
part7a2e346,line55,SpareParts
part264f09e,line4b,Machines
part42cd656,line90,Machines
part9f9d55b,line55,SpareParts
part99321d4,line55,SpareParts
parte2b0cd3,line55,SpareParts
part39b7173,line55,SpareParts
part0058d49,line55,SpareParts
part74b48c0,line90,Machines
part20ac60f,line90,Machines
part34329fb,line55,SpareParts
part674ab0a,line55,SpareParts
part442c988,line55,SpareParts
part1b6cfd8,line55,SpareParts
part4729464,line55,SpareParts
part4c4283c,line56,Machines
part5160580,linea3,Marketables
part2113516,linea3,Marketables
part27bc199,linea3,Marketables
partb4b5c72,linec1,Marketables
part5897a40,line55,SpareParts
part3792811,line55,SpareParts
part9ffccb6,line55,SpareParts
partd620d5e,linec1,Marketables
parta591a63,line56,Machines
part76a8cf8,linea3,Marketables
partafb4a1b,linea3,Marketables
parta91be94,linea3,Marketables
part97daaa4,line56,Machines
part052e9c6,line2f,Machines
part2f2e7de,line2f,Machines
partc60c8e7,line2f,Machines
part82fecf4,line2f,Machines
partd69fdf9,line6d,Machines
part58218da,line2f,Machines
part5d9e4e6,line2f,Machines
part2a9bf31,line94,Machines
part4deb485,line94,Machines
parta204c60,line94,Machines
part444d9c3,line94,Machines
part8044e19,line94,Machines
partf77eb27,line94,Machines
part70e81bf,line94,Machines
part07d005,line94,Machines
part19096,line94,Machines
partdd51e52,line94,Machines
partad22ec4,line94,Machines
part29ab2ed,line55,SpareParts
part415844b,line55,SpareParts
part34c7e7f,line94,Machines
part9de0b24,line55,SpareParts
parta163c,line55,SpareParts
part907037a,line55,SpareParts
partd351d25,line55,SpareParts
part298d69e,line4b,Machines
partdfa059f,line55,SpareParts
part55814a,line4b,Machines
parte3cd61,line4b,Machines
part7244484,linec1,Marketables
partada2059,linec1,Marketables
part06dbc6e,linea3,Marketables
parte63dd42,linea3,Marketables
part964edd4,linea3,Marketables
partdfc7a8d,linea3,Marketables
part97e971a,line56,Machines
part0aa110,line56,Machines
partbdc3cd,line55,SpareParts
part148266b,line2f,Machines
partf4bdabd,line2f,Machines
part93cd109,line2f,Machines
part625e272,line2f,Machines
part325861e,line55,SpareParts
part422b688,line55,SpareParts
partbffd9ce,line2f,Machines
partd88d27a,line2f,Machines
partb0fddd,line2f,Machines
part13ad0d7,line2f,Machines
part2eae5ed,line55,SpareParts
part49dee59,line55,SpareParts
part8f492c3,line2f,Machines
part6faf3ef,line2f,Machines
parte65824e,line55,SpareParts
part76cd3f4,line55,SpareParts
part8cec377,line6d,Machines
part1ef64d,line6d,Machines
part4ce1156,linec1,Marketables
part40ff3bc,line2f,Machines
part179ae06,line2f,Machines
part574998c,line2f,Machines
partbbd7145,line2f,Machines
part241d54f,line94,Machines
part1b1d2ed,line94,Machines
part396a42b,line94,Machines
part341a5ac,line94,Machines
part27ebeb6,line94,Machines
part988ed2e,line94,Machines
part3a9cfd2,line94,Machines
part43c4db7,line94,Machines
partfc4f76a,line94,Machines
partf037e8f,line94,Machines
part06345a6,line94,Machines
partad29950,line94,Machines
part6e69b22,line94,Machines
part77edada,line94,Machines
part2257c41,line94,Machines
part7cf2e0e,line55,SpareParts
part9cd4efe,line94,Machines
part972536f,line94,Machines
partb3eec67,line55,SpareParts
part77e7bbd,line94,Machines
part984acb5,line94,Machines
part9ee583a,line94,Machines
partf1bcd7f,line94,Machines
part3e03d3d,line94,Machines
partdb69126,line94,Machines
part74177bd,line55,SpareParts
partd0865ef,line94,Machines
partec601d8,line94,Machines
parte791c49,line94,Machines
partbb47228,line94,Machines
partee623a,line94,Machines
partd28ebdc,line94,Machines
partb3514e7,line94,Machines
part45aeed6,line55,SpareParts
part569586,line55,SpareParts
part615017b,line55,SpareParts
part88a844d,line55,SpareParts
part990b6f2,line55,SpareParts
partc468db5,line55,SpareParts
part6d1f14b,line55,SpareParts
part76396d9,line55,SpareParts
partb077d,line2f,Machines
part55e166e,line94,Machines
part54a78a7,line55,SpareParts
partbb884b5,line55,SpareParts
partb03e1b5,line55,SpareParts
part7767611,line55,SpareParts
part2c1f655,line94,Machines
partc9fe299,line55,SpareParts
partc2abde1,line94,Machines
partd56ca98,line94,Machines
part08c43b7,line55,SpareParts
partd3476b8,line55,SpareParts
partc16f5ef,line55,SpareParts
part46f6265,line55,SpareParts
part0fee666,line55,SpareParts
part886ea7,line55,SpareParts
part18ca2,line55,SpareParts
partf3a6ba1,line94,Machines
part1283ac6,line55,SpareParts
partdf6d193,line55,SpareParts
part32b583a,line55,SpareParts
part50061f,line55,SpareParts
part844576f,line55,SpareParts
part67c4871,linec1,Marketables
part517bde3,linec1,Marketables
part37c7b0e,line9b,Machines
partad5813a,line55,SpareParts
part7dae10b,linec1,Marketables
part35b33ed,line9b,Machines
part8398d2e,line9b,Machines
part06ffa6f,linec1,Marketables
part7c5b793,linec1,Marketables
parteaa574d,linec1,Marketables
partc9ae038,linec1,Marketables
part661cd79,linea3,Marketables
part8f8889e,line9b,Machines
partaaaaacf,linec1,Marketables
partf4a75c2,line9b,Machines
part6e38ff6,linec1,Marketables
part3da9e6e,linea3,Marketables
partdbe0bcd,linea3,Marketables
partad276a9,line2f,Machines
part13d508a,linec1,Marketables
